t,XxV,XyV,XzV,qx,qy,qz,qw,ZxW,ZyW,ZzW,ExB,EyB,EzB,eta,E1I,E2I
1.02123,-0.546045,1.74334,1.57503,-0.00535652,-0.00777886,0.0285019,0.999549,-0.140726,1.74552,0,0.305796,-0.306118,-1.57503,-0.652259031685549,561.545,446.382
1.02916,-0.546045,1.74334,1.57503,-0.00535652,-0.00777886,0.0285019,0.999549,-0.140726,1.74552,0,0.305796,-0.306118,-1.57503,-0.652259031685549,561.545,446.382
1.04246,-0.543428,1.73454,1.5756,-0.000428692,-0.0108726,0.0301171,0.999487,-0.140702,1.74556,0,0.305908,-0.30623,-1.5756,-0.652300709754722,561.545,446.382
1.05217,-0.543428,1.73454,1.5756,-0.000428692,-0.0108726,0.0301171,0.999487,-0.140702,1.74556,0,0.305908,-0.30623,-1.5756,-0.652300709754722,561.545,446.382
1.0662,-0.542171,1.72757,1.57647,-0.00724387,-0.00820867,0.0314701,0.999445,-0.140846,1.74575,0,0.306077,-0.306399,-1.57647,-0.652363549905901,561.545,446.382
1.07731,-0.541326,1.72496,1.57712,-0.00158308,-0.00578006,0.0325049,0.999454,-0.140724,1.74553,0,0.306203,-0.306525,-1.57712,-0.652410362772142,561.545,446.382
1.08514,-0.541326,1.72496,1.57712,-0.00158308,-0.00578006,0.0325049,0.999454,-0.140724,1.74553,0,0.306203,-0.306525,-1.57712,-0.652410362772142,561.545,446.382
1.09577,-0.541326,1.72496,1.57712,-0.00158308,-0.00578006,0.0325049,0.999454,-0.140724,1.74553,0,0.306203,-0.306525,-1.57712,-0.652410362772142,561.545,446.382
1.10594,-0.538985,1.72,1.57721,0.00110768,-0.00582518,0.0350273,0.999369,-0.140724,1.74553,0,0.30622,-0.306542,-1.57721,-0.652416676286408,561.545,446.382
1.12236,-0.538985,1.72,1.57721,0.00110768,-0.00582518,0.0350273,0.999369,-0.140874,1.74574,0,0.30622,-0.306542,-1.57721,-0.652416676286408,561.545,446.382
1.13226,-0.538985,1.72,1.57721,0.00110768,-0.00582518,0.0350273,0.999369,-0.140874,1.74574,0,0.30622,-0.306542,-1.57721,-0.652416676286408,561.545,446.382
1.14408,-0.538985,1.72,1.57721,0.00110768,-0.00582518,0.0350273,0.999369,-0.140874,1.74574,0,0.30622,-0.306542,-1.57721,-0.652416676286408,561.545,446.382
1.15239,-0.537001,1.71078,1.57845,-0.00234154,-0.00432677,0.0307131,0.999516,-0.140768,1.74556,0,0.306461,-0.306784,-1.57845,-0.652507688158917,561.545,446.382
1.16072,-0.537001,1.71078,1.57845,-0.00234154,-0.00432677,0.0307131,0.999516,-0.140768,1.74556,0,0.306461,-0.306784,-1.57845,-0.652507688158917,561.545,446.382
1.17573,-0.533696,1.70208,1.57812,-0.0051906,-0.00780019,0.0291286,0.999532,-0.140268,1.74524,0,0.346538,-0.269019,-1.57812,-0.547213000661076,587.759,421.767
1.19085,-0.53238,1.69827,1.57797,-0.00525847,-0.00671038,0.0291328,0.999539,-0.140272,1.74521,0,0.346505,-0.268993,-1.57797,-0.547203265128644,587.759,421.767
1.2018,-0.53238,1.69827,1.57797,-0.00525847,-0.00671038,0.0291328,0.999539,-0.140272,1.74521,0,0.346505,-0.268993,-1.57797,-0.547203265128644,587.759,421.767
1.21083,-0.53238,1.69827,1.57797,-0.00525847,-0.00671038,0.0291328,0.999539,-0.140272,1.74521,0,0.346505,-0.268993,-1.57797,-0.547203265128644,587.759,421.767
1.22038,-0.53238,1.69827,1.57797,-0.00525847,-0.00671038,0.0291328,0.999539,-0.140272,1.74521,0,0.346505,-0.268993,-1.57797,-0.547203265128644,587.759,421.767
1.23029,-0.53238,1.69827,1.57797,-0.00525847,-0.00671038,0.0291328,0.999539,-0.140272,1.74521,0,0.346505,-0.268993,-1.57797,-0.547203265128644,587.759,421.767
1.24519,-0.530729,1.69399,1.57772,-0.00312001,-0.00625043,0.027316,0.999602,-0.140227,1.74523,0,0.34645,-0.26895,-1.57772,-0.547187586436111,587.759,421.767
1.25632,-0.530729,1.69399,1.57772,-0.00312001,-0.00625043,0.027316,0.999602,-0.140227,1.74523,0,0.34645,-0.26895,-1.57772,-0.547187586436111,587.759,421.767
1.26445,-0.530729,1.69399,1.57772,-0.00312001,-0.00625043,0.027316,0.999602,-0.140227,1.74523,0,0.34645,-0.26895,-1.57772,-0.547187586436111,587.759,421.767
1.27385,-0.525214,1.68091,1.57636,0.00337278,-0.00712644,0.0263149,0.999623,-0.140262,1.74528,0,0.346152,-0.268719,-1.57636,-0.547105839860982,587.759,421.767
1.28571,-0.523188,1.67538,1.57671,0.0013894,-0.0011262,0.0259003,0.999663,-0.140249,1.74526,0,0.346229,-0.268779,-1.57671,-0.547127489529438,587.759,421.767
1.29601,-0.523188,1.67538,1.57671,0.0013894,-0.0011262,0.0259003,0.999663,-0.140249,1.74526,0,0.346229,-0.268779,-1.57671,-0.547127489529438,587.759,421.767
1.30579,-0.523188,1.67538,1.57671,0.0013894,-0.0011262,0.0259003,0.999663,-0.140249,1.74526,0,0.346229,-0.268779,-1.57671,-0.547127489529438,587.759,421.767
1.31952,-0.523188,1.67538,1.57671,0.0013894,-0.0011262,0.0259003,0.999663,-0.140249,1.74526,0,0.346229,-0.268779,-1.57671,-0.547127489529438,587.759,421.767
1.32923,-0.523188,1.67538,1.57671,0.0013894,-0.0011262,0.0259003,0.999663,-0.140249,1.74526,0,0.346229,-0.268779,-1.57671,-0.547127489529438,587.759,421.767
1.34398,-0.521067,1.67035,1.57654,-0.000392804,-0.00101204,0.0281826,0.999602,-0.140222,1.74525,0,0.34619,-0.268749,-1.57654,-0.547117169222473,587.759,421.767
1.35343,-0.521067,1.67035,1.57654,-0.000392804,-0.00101204,0.0281826,0.999602,-0.140222,1.74525,0,0.34619,-0.268749,-1.57654,-0.547117169222473,587.759,421.767
